Season,Position,AllTeam,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
1516,C,1,DeMarcus Cousins,SAC,25,65,29,36,34.6,26.9,9.2,20.5,45.1,1.1,3.2,33.3,7.3,10.2,71.8,2.4,9.1,11.5,3.3,3.8,1.6,1.4,3.6,47,1,0.6
1516,C,1,Andre Drummond,DET,22,81,43,38,32.9,16.2,6.8,13.1,52.1,0,0.1,33.3,2.6,7.2,35.5,4.9,9.9,14.8,0.8,1.9,1.5,1.4,3,66,0,1.6
1516,C,1,DeAndre Jordan,LAC,27,77,51,26,33.7,12.7,4.6,6.6,70.3,0,0,0,3.5,8,43,3.5,10.3,13.8,1.2,1.4,0.7,2.3,2.7,49,0,5.7
1516,F,1,Kevin Durant,OKC,27,72,52,20,35.8,28.2,9.7,19.2,50.5,2.6,6.7,38.7,6.2,6.9,89.8,0.6,7.6,8.2,5,3.5,1,1.2,1.9,27,1,9
1516,F,1,LeBron James,CLE,31,76,56,20,35.6,25.3,9.7,18.6,52,1.1,3.7,30.9,4.7,6.5,73.1,1.5,6,7.4,6.8,3.3,1.4,0.6,1.9,28,3,8.1
1516,F,1,Paul George,IND,26,81,44,37,34.8,23.1,7.5,17.9,41.8,2.6,7,37.1,5.6,6.5,86,1,6,7,4.1,3.3,1.9,0.4,2.8,15,0,2.2
1516,F,1,Kawhi Leonard,SAS,25,72,60,12,33.1,21.2,7.7,15.1,50.6,1.8,4,44.3,4.1,4.6,87.4,1.3,5.5,6.8,2.6,1.5,1.8,1,1.8,12,0,9.1
1516,F,1,LaMarcus Aldridge,SAS,30,74,61,13,30.6,18,7.2,14.1,51.3,0,0.2,0,3.5,4.1,85.8,2.4,6.2,8.5,1.5,1.3,0.5,1.1,2,26,0,6.9
1516,F,1,Draymond Green,GSW,26,81,73,8,34.7,14,5,10.1,49,1.2,3.2,38.8,2.8,4.1,69.6,1.7,7.8,9.5,7.4,3.2,1.5,1.4,3,33,13,13.2
1516,G,1,Stephen Curry,GSW,28,79,71,8,34.2,30.1,10.2,20.2,50.4,5.1,11.2,45.4,4.6,5.1,90.8,0.9,4.6,5.4,6.7,3.3,2.1,0.2,2,15,2,12.9
1516,G,1,Damian Lillard,POR,25,75,40,35,35.7,25.1,8.2,19.7,41.9,3.1,8.1,37.5,5.5,6.2,89.2,0.6,3.4,4,6.8,3.2,0.9,0.4,2.2,15,0,1.3
1516,G,1,Russell Westbrook,OKC,27,80,55,25,34.4,23.5,8.2,18.1,45.4,1.3,4.3,29.6,5.8,7.2,81.2,1.8,6,7.8,10.4,4.3,2,0.3,2.5,54,18,7.9
1516,G,1,Klay Thompson,GSW,26,80,71,9,33.3,22.1,8.1,17.3,47,3.5,8.1,42.5,2.4,2.8,87.3,0.4,3.4,3.8,2.1,1.7,0.8,0.6,1.9,0,0,10.5
1516,G,1,Kyle Lowry,TOR,30,77,54,23,37,21.2,6.6,15.6,42.7,2.8,7.1,38.8,5.2,6.4,81.1,0.7,4,4.7,6.4,2.9,2.1,0.4,2.7,12,1,4.9
1516,G,1,Chris Paul,LAC,31,74,50,24,32.7,19.5,7,15.1,46.2,1.6,4.4,37.1,4,4.4,89.6,0.5,3.7,4.2,10,2.6,2.1,0.2,2.5,38,0,7.5
1516,0,0,James Harden,HOU,26,82,41,41,38.1,29,8.7,19.7,43.9,2.9,8,35.9,8.8,10.2,86,0.8,5.3,6.1,7.5,4.6,1.7,0.6,2.8,23,3,1.5
1516,0,0,Anthony Davis,NOP,23,61,24,37,35.5,24.3,9.2,18.6,49.3,0.6,1.8,32.4,5.3,7,75.8,2.1,8.1,10.3,1.9,2,1.3,2,2.4,36,0,-3.3
1516,0,0,DeMar DeRozan,TOR,26,78,53,25,35.9,23.5,7.9,17.7,44.6,0.6,1.8,33.8,7.1,8.4,85,0.8,3.7,4.5,4,2.2,1,0.3,2.1,3,0,2.2
1516,0,0,Isaiah Thomas,BOS,27,82,48,34,32.2,22.2,7.2,16.9,42.8,2,5.7,35.9,5.8,6.6,87.1,0.6,2.4,3,6.2,2.7,1.1,0.1,2,7,0,3.6
1516,0,0,Carmelo Anthony,NYK,32,72,32,40,35.1,21.8,7.9,18.2,43.4,1.5,4.3,33.9,4.6,5.6,82.9,1.4,6.4,7.7,4.2,2.4,0.9,0.5,2.5,22,0,-0.6
